Recipient ISO-3,Recipient,Commitment Year,Amount (Constant USD 2021),Amount_USD_M_2021
BRN,Brunei Darussalam,2005,0.0,0.0
BRN,Brunei Darussalam,2006,0.0,0.0
BRN,Brunei Darussalam,2007,0.0,0.0
BRN,Brunei Darussalam,2008,0.0,0.0
BRN,Brunei Darussalam,2010,0.0,0.0
BRN,Brunei Darussalam,2011,0.0,0.0
BRN,Brunei Darussalam,2012,0.0,0.0
BRN,Brunei Darussalam,2014,0.0,0.0
BRN,Brunei Darussalam,2015,218428494.1071511,218.4284941071511
BRN,Brunei Darussalam,2016,0.0,0.0
BRN,Brunei Darussalam,2017,9218.70525616779,0.00921870525616779
BRN,Brunei Darussalam,2018,1907237058.787681,1907.237058787681
BRN,Brunei Darussalam,2019,0.0,0.0
BRN,Brunei Darussalam,2020,255119.56203665858,0.2551195620366586
BRN,Brunei Darussalam,2021,18936000.0,18.936
IDN,Indonesia,2002,249945.490200365,0.249945490200365
IDN,Indonesia,2003,1580222323.9709258,1580.2223239709258
IDN,Indonesia,2004,369925525.7135982,369.9255257135982
IDN,Indonesia,2005,207436573.98915014,207.43657398915013
IDN,Indonesia,2006,3282901400.7005177,3282.9014007005176
IDN,Indonesia,2007,1105757010.3797824,1105.7570103797825
IDN,Indonesia,2008,2371547658.623347,2371.5476586233467
IDN,Indonesia,2009,6988205293.66516,6988.20529366516
IDN,Indonesia,2010,705879318.3000287,705.8793183000287
IDN,Indonesia,2011,1999863079.0442333,1999.8630790442332
IDN,Indonesia,2012,1812856488.96067,1812.85648896067
IDN,Indonesia,2013,4134573084.8200784,4134.573084820078
IDN,Indonesia,2014,1628448234.4604242,1628.4482344604241
IDN,Indonesia,2015,8687502900.831255,8687.502900831256
IDN,Indonesia,2016,5422791611.895029,5422.791611895029
IDN,Indonesia,2017,7623327124.555587,7623.327124555587
IDN,Indonesia,2018,2357878348.1378164,2357.8783481378164
IDN,Indonesia,2019,2111261713.3319032,2111.261713331903
IDN,Indonesia,2020,2034049480.0468748,2034.0494800468748
IDN,Indonesia,2021,762610789.0790658,762.6107890790659
KHM,Cambodia,2000,91777090.26860954,91.77709026860954
KHM,Cambodia,2001,28205127.639950946,28.205127639950945
KHM,Cambodia,2002,338925195.87015617,338.9251958701562
KHM,Cambodia,2003,14764407.97159817,14.764407971598171
KHM,Cambodia,2004,7041125.214140724,7.041125214140725
KHM,Cambodia,2005,82062748.92320292,82.06274892320292
KHM,Cambodia,2006,64972305.966859676,64.97230596685968
KHM,Cambodia,2007,835023218.2291211,835.0232182291211
KHM,Cambodia,2008,166073144.47790998,166.07314447790998
KHM,Cambodia,2009,776936447.4587222,776.9364474587222
KHM,Cambodia,2010,2942319015.783209,2942.3190157832087
KHM,Cambodia,2011,258924055.76469907,258.92405576469906
KHM,Cambodia,2012,1624920362.2715812,1624.920362271581
KHM,Cambodia,2013,1214098047.3855886,1214.0980473855886
KHM,Cambodia,2014,748567450.7585998,748.5674507585998
KHM,Cambodia,2015,544177651.1610305,544.1776511610306
KHM,Cambodia,2016,934659646.58862,934.6596465886199
KHM,Cambodia,2017,579451452.4884306,579.4514524884306
KHM,Cambodia,2018,1967414977.1417634,1967.4149771417635
KHM,Cambodia,2019,2270460260.136928,2270.460260136928
KHM,Cambodia,2020,1336760792.0176592,1336.7607920176592
KHM,Cambodia,2021,901459466.4,901.4594664
LAO,Lao People's Democratic Republic,2000,91829192.75657126,91.82919275657126
LAO,Lao People's Democratic Republic,2001,75436133.0223992,75.4361330223992
LAO,Lao People's Democratic Republic,2002,304254215.3827408,304.25421538274077
LAO,Lao People's Democratic Republic,2003,80829447.62872651,80.82944762872651
LAO,Lao People's Democratic Republic,2004,986577817.8006921,986.5778178006921
LAO,Lao People's Democratic Republic,2005,72087857.71989392,72.08785771989392
LAO,Lao People's Democratic Republic,2006,138844083.2166166,138.8440832166166
LAO,Lao People's Democratic Republic,2007,47031523.10183776,47.03152310183776
LAO,Lao People's Democratic Republic,2008,506426631.6309291,506.42663163092914
LAO,Lao People's Democratic Republic,2009,655864412.5257491,655.8644125257491
LAO,Lao People's Democratic Republic,2010,525969018.6820723,525.9690186820723
LAO,Lao People's Democratic Republic,2011,687409293.8959632,687.4092938959632
LAO,Lao People's Democratic Republic,2012,749123892.8822466,749.1238928822467
LAO,Lao People's Democratic Republic,2013,967877029.7738196,967.8770297738196
LAO,Lao People's Democratic Republic,2014,2635665667.066824,2635.665667066824
LAO,Lao People's Democratic Republic,2015,1564442717.9506788,1564.4427179506788
LAO,Lao People's Democratic Republic,2016,4589788738.444315,4589.788738444315
LAO,Lao People's Democratic Republic,2017,1150066697.1921256,1150.0666971921255
LAO,Lao People's Democratic Republic,2018,547480062.6091517,547.4800626091517
LAO,Lao People's Democratic Republic,2019,4350240720.652793,4350.240720652793
LAO,Lao People's Democratic Republic,2020,415153552.8069355,415.15355280693547
LAO,Lao People's Democratic Republic,2021,422073272.4708209,422.0732724708209
MMR,Myanmar,2000,909384831.1257732,909.3848311257732
MMR,Myanmar,2001,268568863.3685717,268.5688633685717
MMR,Myanmar,2002,30197525.28446987,30.19752528446987
MMR,Myanmar,2003,638836277.4885445,638.8362774885445
MMR,Myanmar,2004,372462499.62117076,372.46249962117076
MMR,Myanmar,2005,151963374.60397398,151.963374603974
MMR,Myanmar,2006,952901049.7664789,952.9010497664789
MMR,Myanmar,2007,1608299353.89095,1608.29935389095
MMR,Myanmar,2008,24714467.364633065,24.714467364633066
MMR,Myanmar,2009,487324427.5147274,487.3244275147274
MMR,Myanmar,2010,5606721563.632432,5606.721563632432
MMR,Myanmar,2011,429786872.6125114,429.7868726125114
MMR,Myanmar,2012,708244202.849237,708.244202849237
MMR,Myanmar,2013,349939499.22032964,349.93949922032965
MMR,Myanmar,2014,489364538.4503132,489.3645384503132
MMR,Myanmar,2015,209601661.4723193,209.6016614723193
MMR,Myanmar,2016,162938343.44704658,162.93834344704658
MMR,Myanmar,2017,453404770.9599806,453.4047709599806
MMR,Myanmar,2018,179226862.435619,179.22686243561898
MMR,Myanmar,2019,126906045.70884211,126.90604570884211
MMR,Myanmar,2020,82014193.78987461,82.01419378987461
MMR,Myanmar,2021,291769570.3616901,291.7695703616901
MYS,Malaysia,2004,407744983.1690761,407.7449831690761
MYS,Malaysia,2005,108945714.15062983,108.94571415062984
MYS,Malaysia,2006,71118217.9839845,71.1182179839845
MYS,Malaysia,2009,497916331.0030932,497.9163310030932
MYS,Malaysia,2010,83563616.1477744,83.5636161477744
MYS,Malaysia,2011,0.0,0.0
MYS,Malaysia,2012,205471622.637022,205.471622637022
MYS,Malaysia,2013,191766213.872271,191.766213872271
MYS,Malaysia,2014,5440773.353792813,5.440773353792813
MYS,Malaysia,2015,2281420415.977479,2281.420415977479
MYS,Malaysia,2016,854782780.091709,854.782780091709
MYS,Malaysia,2017,2085921202.675084,2085.9212026750843
MYS,Malaysia,2018,6565678092.511741,6565.678092511741
MYS,Malaysia,2019,1421101784.8987627,1421.1017848987626
MYS,Malaysia,2020,1168386086.1486275,1168.3860861486276
MYS,Malaysia,2021,1080094495.333552,1080.0944953335518
PHL,Philippines,2000,17965197.1015669,17.9651971015669
PHL,Philippines,2001,87960080.0593822,87.96008005938221
PHL,Philippines,2003,276297793.16626376,276.2977931662638
PHL,Philippines,2004,555382693.4008362,555.3826934008363
PHL,Philippines,2005,65649558.825827934,65.64955882582794
PHL,Philippines,2006,203516577.75758296,203.51657775758295
PHL,Philippines,2007,437883700.4521955,437.8837004521955
PHL,Philippines,2009,209019718.31791937,209.01971831791937
PHL,Philippines,2010,930689774.8458364,930.6897748458364
PHL,Philippines,2011,1918613.08289239,1.91861308289239
PHL,Philippines,2012,385354.396452609,0.385354396452609
PHL,Philippines,2013,75551786.24982718,75.55178624982717
PHL,Philippines,2014,0.0,0.0
PHL,Philippines,2015,19725.2787736664,0.0197252787736664
PHL,Philippines,2016,2271254302.048474,2271.2543020484736
PHL,Philippines,2017,759152177.9537225,759.1521779537225
PHL,Philippines,2018,479877160.44886553,479.87716044886554
PHL,Philippines,2019,1209659502.26042,1209.6595022604201
PHL,Philippines,2020,14608363.312346574,14.608363312346574
PHL,Philippines,2021,519791648.6632839,519.7916486632839
THA,Thailand,2000,3831800.08773153,3.83180008773153
THA,Thailand,2002,0.0,0.0
THA,Thailand,2004,226299.317175185,0.22629931717518498
THA,Thailand,2005,81486371.89326018,81.48637189326018
THA,Thailand,2006,27584040.32780501,27.58404032780501
THA,Thailand,2008,0.0,0.0
THA,Thailand,2009,174995.624995896,0.17499562499589602
THA,Thailand,2010,3095226568.8821936,3095.2265688821935
THA,Thailand,2011,17141558.44493247,17.141558444932468
THA,Thailand,2012,42606503.70035531,42.60650370035531
THA,Thailand,2013,538371613.0817125,538.3716130817124
THA,Thailand,2014,13703758.2502375,13.7037582502375
THA,Thailand,2015,89276970.7036203,89.2769707036203
THA,Thailand,2016,1017542516.0245053,1017.5425160245053
THA,Thailand,2017,53407.48825185789,0.05340748825185789
THA,Thailand,2018,106362390.870365,106.36239087036499
THA,Thailand,2019,16759598.17795054,16.75959817795054
THA,Thailand,2020,143484677.174505,143.484677174505
THA,Thailand,2021,52547987.59689922,52.54798759689922
VNM,Viet Nam,2000,138325183.6359666,138.3251836359666
VNM,Viet Nam,2001,9113782.00510381,9.11378200510381
VNM,Viet Nam,2002,6039505.05689398,6.03950505689398
VNM,Viet Nam,2003,322837749.1855476,322.8377491855476
VNM,Viet Nam,2004,253861214.49991095,253.86121449991094
VNM,Viet Nam,2005,918651933.4846337,918.6519334846337
VNM,Viet Nam,2006,2325001203.6333256,2325.0012036333255
VNM,Viet Nam,2007,1338676091.3027472,1338.6760913027472
VNM,Viet Nam,2008,1440214034.7167552,1440.2140347167551
VNM,Viet Nam,2009,951083637.9321638,951.0836379321638
VNM,Viet Nam,2010,3110868568.6927595,3110.8685686927597
VNM,Viet Nam,2011,2616308792.732065,2616.3087927320653
VNM,Viet Nam,2012,1411534898.1139746,1411.5348981139746
VNM,Viet Nam,2013,276076689.3282461,276.0766893282461
VNM,Viet Nam,2014,2550747413.165149,2550.7474131651493
VNM,Viet Nam,2015,1859619875.3519788,1859.6198753519789
VNM,Viet Nam,2016,5234824352.10179,5234.82435210179
VNM,Viet Nam,2017,869953643.5995002,869.9536435995002
VNM,Viet Nam,2018,392890834.1102621,392.8908341102621
VNM,Viet Nam,2019,2243233479.3491077,2243.2334793491077
VNM,Viet Nam,2020,488149059.6809025,488.1490596809025
VNM,Viet Nam,2021,188722548.6763222,188.7225486763222
