country,year,metric,value_usd_millions
Singapore,2010,Flow,3845.4381515113455
Singapore,2011,Flow,4491.858741558935
Singapore,2012,Flow,1566.069291563269
Singapore,2013,Flow,3544.825960215806
Singapore,2014,Flow,8144.353463932021
Singapore,2015,Flow,7010.315725155828
Singapore,2016,Flow,-18594.394406815478
Singapore,2017,Flow,9597.780183236046
Singapore,2018,Flow,16791.49928014991
Singapore,2019,Flow,13743.008546492023
Singapore,2020,Flow,7688.494693209106
Singapore,2021,Flow,20257.124277452003
Singapore,2022,Flow,6869.427413483308
Singapore,2023,Flow,9842.065461845363
Singapore,2024,Flow,13678.430036255884
Thailand,2010,Flow,2247.704278721498
Thailand,2011,Flow,7133.335961395787
Thailand,2012,Flow,546.6009447054944
Thailand,2013,Flow,10173.908631967652
Thailand,2014,Flow,5567.545394951562
Thailand,2015,Flow,4056.795422046148
Thailand,2016,Flow,4691.257211555244
Thailand,2017,Flow,4934.529618869954
Thailand,2018,Flow,6816.714149571912
Thailand,2019,Flow,4363.2374882376325
Thailand,2020,Flow,3611.2071967390143
Thailand,2021,Flow,4416.882332334248
Thailand,2022,Flow,6357.9515598112575
Thailand,2023,Flow,3436.224767011903
Thailand,2024,Flow,3674.449984715215
Indonesia,2010,Flow,490.38665544149103
Indonesia,2011,Flow,3611.069021059684
Indonesia,2012,Flow,3810.3951535433225
Indonesia,2013,Flow,3906.7234650792398
Indonesia,2014,Flow,4834.59544824717
Indonesia,2015,Flow,3212.963280601967
Indonesia,2016,Flow,3134.5661211113347
Indonesia,2017,Flow,3519.856005769191
Indonesia,2018,Flow,3446.5620564508145
Indonesia,2019,Flow,8879.154367949332
Indonesia,2020,Flow,1632.4240886615921
Indonesia,2021,Flow,2951.528283952687
Indonesia,2022,Flow,3119.8057682394096
Indonesia,2023,Flow,2839.40575193592
Indonesia,2024,Flow,2531.847178460282
Malaysia,2010,Flow,1058.1748348053065
Malaysia,2011,Flow,1441.2210044018552
Malaysia,2012,Flow,1308.4514084380125
Malaysia,2013,Flow,1264.9531795899902
Malaysia,2014,Flow,1292.5551833778143
Malaysia,2015,Flow,2917.9390365502913
Malaysia,2016,Flow,1269.051113570714
Malaysia,2017,Flow,1072.831595477684
Malaysia,2018,Flow,1261.5478677864357
Malaysia,2019,Flow,589.5921568996152
Malaysia,2020,Flow,1431.703371009206
Malaysia,2021,Flow,2529.0832511840586
Malaysia,2022,Flow,2164.8078597803033
Malaysia,2023,Flow,1928.0484577480386
Malaysia,2024,Flow,2320.4848675778844
Philippines,2010,Flow,513.8233035308037
Philippines,2011,Flow,1018.7380267996955
Philippines,2012,Flow,731.4688979157933
Philippines,2013,Flow,1241.7762041503768
Philippines,2014,Flow,901.0675528905558
Philippines,2015,Flow,1530.8284647121707
Philippines,2016,Flow,2342.9041902364656
Philippines,2017,Flow,1120.0124875555093
Philippines,2018,Flow,1133.4585841154571
Philippines,2019,Flow,1689.0011684227438
Philippines,2020,Flow,1010.5585339083673
Philippines,2021,Flow,1179.4753691671583
Philippines,2022,Flow,1280.069992500446
Philippines,2023,Flow,2021.4004118632063
Philippines,2024,Flow,770.2194325914747
Vietnam,2010,Flow,747.9987693190973
Vietnam,2011,Flow,1859.453137931102
Vietnam,2012,Flow,2569.7257681315305
Vietnam,2013,Flow,3266.421187129474
Vietnam,2014,Flow,1651.9961016772336
Vietnam,2015,Flow,1446.0723804474746
Vietnam,2016,Flow,1666.4739489535214
Vietnam,2017,Flow,2029.0624477100043
Vietnam,2018,Flow,1993.0456746539744
Vietnam,2019,Flow,2648.092253369862
Vietnam,2020,Flow,2360.3817498627673
Vietnam,2021,Flow,3682.551188741937
Vietnam,2022,Flow,3233.9658863489267
Vietnam,2023,Flow,4967.360622573071
Vietnam,2024,Flow,2839.7138623022156
Singapore,2010,Stock,27502.283415670838
Singapore,2011,Stock,31703.19962068403
Singapore,2012,Stock,36063.489518497685
Singapore,2013,Stock,36549.15739737155
Singapore,2014,Stock,45733.14141694491
Singapore,2015,Stock,50483.52254938548
Singapore,2016,Stock,41627.39009390317
Singapore,2017,Stock,63615.84696029295
Singapore,2018,Stock,78503.18549533514
Singapore,2019,Stock,88511.86184375628
Singapore,2020,Stock,98731.84326256654
Singapore,2021,Stock,110632.57562200313
Singapore,2022,Stock,113288.20119378691
Singapore,2023,Stock,114885.67936766619
Singapore,2024,Stock,124525.7262638926
Thailand,2010,Stock,27789.01340852718
Thailand,2011,Stock,35177.81882515535
Thailand,2012,Stock,35040.29221746467
Thailand,2013,Stock,44580.76114956601
Thailand,2014,Stock,52588.00456213689
Thailand,2015,Stock,51271.58532680618
Thailand,2016,Stock,55325.96560842798
Thailand,2017,Stock,63296.43574148247
Thailand,2018,Stock,68856.201536096
Thailand,2019,Stock,77936.51448341731
Thailand,2020,Stock,78715.83801747799
Thailand,2021,Stock,71986.00280246699
Thailand,2022,Stock,74687.37707972607
Thailand,2023,Stock,76381.03553907355
Thailand,2024,Stock,76633.64309835962
Indonesia,2010,Stock,11946.454789278727
Indonesia,2011,Stock,15816.307260586442
Indonesia,2012,Stock,18426.990813089786
Indonesia,2013,Stock,19787.20783950641
Indonesia,2014,Stock,23770.398983697833
Indonesia,2015,Stock,24531.787028591596
Indonesia,2016,Stock,27008.533571761593
Indonesia,2017,Stock,30460.360549729245
Indonesia,2018,Stock,31358.09529302536
Indonesia,2019,Stock,40048.19756076958
Indonesia,2020,Stock,38482.82788090584
Indonesia,2021,Stock,36332.15383980195
Indonesia,2022,Stock,35823.337123747544
Indonesia,2023,Stock,39029.98673521923
Indonesia,2024,Stock,39040.16167655963
Malaysia,2010,Stock,9971.554645318023
Malaysia,2011,Stock,11211.29660559242
Malaysia,2012,Stock,13312.278700244902
Malaysia,2013,Stock,13203.945222595708
Malaysia,2014,Stock,13741.202813747916
Malaysia,2015,Stock,13463.122704625477
Malaysia,2016,Stock,12861.162578012125
Malaysia,2017,Stock,14314.95315367066
Malaysia,2018,Stock,16634.86816529891
Malaysia,2019,Stock,17450.276587063672
Malaysia,2020,Stock,18532.49271112939
Malaysia,2021,Stock,19147.151137560806
Malaysia,2022,Stock,20067.900230036328
Malaysia,2023,Stock,20503.65807268034
Malaysia,2024,Stock,21281.052762201532
Philippines,2010,Stock,8686.995569532179
Philippines,2011,Stock,10225.369545586853
Philippines,2012,Stock,10379.199828270204
Philippines,2013,Stock,10751.797110187814
Philippines,2014,Stock,11165.465162771285
Philippines,2015,Stock,12323.07995040691
Philippines,2016,Stock,13725.230428964222
Philippines,2017,Stock,15093.088513040388
Philippines,2018,Stock,14555.38693633152
Philippines,2019,Stock,15732.78487134219
Philippines,2020,Stock,16453.254056401816
Philippines,2021,Stock,16203.710099817581
Philippines,2022,Stock,16540.275856947177
Philippines,2023,Stock,17986.777299660538
Philippines,2024,Stock,17927.488845145355
Vietnam,2010,Stock,4500.59055652304
Vietnam,2011,Stock,6369.868796112273
Vietnam,2012,Stock,8415.299465820703
Vietnam,2013,Stock,10789.796719787606
Vietnam,2014,Stock,12009.365121460769
Vietnam,2015,Stock,13156.466290458397
Vietnam,2016,Stock,14481.082589309199
Vietnam,2017,Stock,15661.675165858853
Vietnam,2018,Stock,16901.183353713768
Vietnam,2019,Stock,19580.852461447546
Vietnam,2020,Stock,22258.442427407335
Vietnam,2021,Stock,24679.274416287353
Vietnam,2022,Stock,24813.71426311488
Vietnam,2023,Stock,29026.88359944837
Vietnam,2024,Stock,28481.688116004818
