Year,China,Japan,India,South Korea,Australia,Indonesia,Taiwan,Thailand,United States,European Union
2015,24,15,15.4,2.8,14.1,13.8,3.4,7.8,13.6,29.8
2016,24.8,14.3,14.9,3.2,16.2,15.4,4.2,8.9,15.3,30.1
2017,25.2,15.2,16,3.9,15.1,16.2,4,11.1,17.5,29.9
2018,25.6,16.2,16.7,4.7,18.8,17,3.9,14.4,17.4,32.4
2019,26.8,16.8,18.7,5.6,20.8,16.3,4.9,14.9,18.3,34.1
2020,28.1,19.1,20,7,24.2,18.1,4.8,14.2,20.3,38.5
2021,28.7,20.1,19.6,7.9,28.9,18.2,5.4,15,20.7,37.5
2022,30.2,20.5,20.7,8.9,32,19.6,7.7,15.8,22.4,38.9
2023,30.6,22.1,19.5,9,34.9,18.6,8.9,15.6,22.7,44.9
2024,33.6,23.2,19.8,9.6,35.5,19.3,10.9,14.9,24.1,47.5